id,cancel_pol,room_cat,Family_Friendly,Pets_Allowed,Smoking_Allowed,Events_Allowed,rev_rating,rev_acc,rev_clean,rev_check,rev_comm,rev_loc,rev_val,host_responsetime,host_response_rate,host_is_superhost,host_listings_count,property_type,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_value,reviews_per_month,len_desc,len_experiences,len_summary,len_rules,NearbyAssault,NearbyBikeShare,NearbyClassASexOffenders,NearbyGunShots,NearbyHomicide,NearbyMetros,NearbyMuseums,NearbySexCrime,NearbySexOffenders,Closest_BikeShare,Closest_Metro,Closest_Museum,Closest_SexCrime,Closest_SexOffender,Closest_Arson,Closest_Assault,Closest_GunShot,Closest_Homicide,Closest_ClassA_SexOffender,AvgNightlyPrice,AvgNightlyAdjusted_price,MinNightlyprice,MinNightlyAdjusted_price,MaxNightlyprice,MaxNightlyAdjusted_price,Basic_Amenities,deluxe_amenities,Total_Amenities
3362,0,3,1,0,0,0,96,10,9,10,10,10,10,4,1,1,5,Townhouse,16,4,4,6,500,202,8,24,155,10,1.27,1000,4,394,1000,28,10,11,36,2,6,,3,27,0.1762,0.2378,0.5255,0.2959,0.176,2.0388,0.1393,0.0518,0.2245,0.176,424.68,424.68,201,201,463,463,4,1,11
3662,3,2,1,0,0,1,94,9,9,10,10,8,9,4,1,0,3,House,1,1,1,1,0,0,1,0,35,9,0.37,1000,4,492,1000,45,4,22,170,4,3,2,3,45,0.138,0.2936,0.1517,0.2619,0.0742,0.8493,0.0217,0.0203,0.0738,0.167,65,65,65,65,65,65,3,3,13
3686,3,2,1,0,0,0,91,9,9,10,10,7,9,4,1,0,3,House,1,1,1,1,0,0,1,0,68,9,0.67,1000,4,492,1000,39,4,25,161,2,3,2,2,49,0.1043,0.3655,0.1721,0.2737,0.0525,0.774,0.0487,0.0356,0.1485,0.1335,55,55,55,55,55,55,2,2,10
3771,3,2,0,0,0,0,78,8,7.2,8.4,8.5,7.6,7.7,0,,0,1,Other,2,1,1,1,,,1,0,1,,0.01,776,4,218,,47,12,11,15,2,3,2,5,31,0.1803,0.3423,0.2241,0.3235,0.2017,3.6022,0.0907,0.2309,0.2552,0.2098,88,88,88,88,88,88,3,1,9
4002,4,3,1,0,0,1,85,9,8,9,9,8,8,3,1,0,2,House,9,1,2,2,200,85,3,20,149,8,1.22,1000,4,237,1000,4,1,5,1,,,,1,11,0.4522,0.5154,0.5854,0.3346,0.2228,3.1319,0.2225,0.2095,1.5973,0.2228,113.87,113.87,77,77,139,139,4,3,15
4197,3,2,0,0,0,0,98,10,10,10,10,10,10,4,1,1,2,Townhouse,2,2,1,1,,25,1,25,37,10,0.31,1000,4,487,32,5,11,2,1,,2,1,,7,0.0663,0.2542,0.4825,0.8024,0.2359,0.6969,0.1781,0.4668,0.6988,0.2359,81.25,81.25,69,69,90,90,3,2,11
4283,3,3,1,0,0,1,100,10,10,10,10,10,9,2,1,0,1,Apartment,4,1,2,3,350,125,2,15,13,9,0.12,1000,4,500,286,19,10,3,,1,1,1,2,13,0.1034,0.4564,0.3604,0.1165,0.0591,3.609,0.1103,0.5271,0.3193,0.0591,135,135,135,135,135,135,4,2,15
4501,0,2,0,0,0,0,98,10,10,10,10,9,10,0,,0,1,House,2,2,1,1,,,2,50,120,10,0.98,1000,4,488,1002,25,10,7,37,1,6,2,2,25,0.1252,0.1013,0.2234,0.3497,0.1313,2.3723,0.1297,0.076,0.3951,0.1313,375.27,375.27,125,125,475,475,4,4,14
4529,0,2,1,0,0,0,93,10,9,10,10,9,10,3,1,0,3,House,4,1,1,2,200,40,2,10,99,10,0.85,1000,4,497,87,28,1,11,129,5,3,,,20,0.3556,0.448,1.5009,0.5153,0.1755,2.1451,0.1144,0.0644,0.2827,0.1755,52.85,52.85,52,52,55,55,3,5,15
4967,3,2,0,0,1,0,95,9,10,10,10,8,9,4,1,1,5,House,1,3,1,1,,,1,0,31,9,0.31,1002,4,,59,21,2,31,27,1,,1,2,47,0.4179,0.5811,0.495,0.1884,0.2769,1.2615,0.082,0.2832,0.4603,0.2906,99,99,99,99,99,99,4,3,12
