id,cancel_pol,room_cat,Family_Friendly,Pets_Allowed,Smoking_Allowed,Events_Allowed,rev_rating,rev_acc,rev_clean,rev_check,rev_comm,rev_loc,rev_val,host_responsetime,host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_value,reviews_per_month,len_desc,len_summary,len_rules,NearbyArson,NearbyAssault,NearbyBikeShare,NearbyClassASexOffenders,NearbyGunShots,NearbyHomicide,NearbyMetros,NearbyMuseums,NearbySexCrime,NearbySexOffenders,Closest_BikeShare,Closest_Metro,Closest_Museum,Closest_SexCrime,Closest_SexOffender,Closest_Arson,Closest_Assault,Closest_GunShot,Closest_Homicide,Closest_ClassA_SexOffender,AvgNightlyPrice,AvgNightlyAdjusted_price,MinNightlyprice,MinNightlyAdjusted_price,MaxNightlyprice,MaxNightlyAdjusted_price,Basic_Amenities,deluxe_amenities,Total_Amenities
3362,0,3,1,0,0,0,96,10,9,10,10,10,10,4,1,1,5,16,4,4,6,0,500,202,8,24,155,10,1.27,1000,394,1000,0,28,10,11,36,2,6,0,3,27,0.18,0.24,0.53,0.3,0.18,2.04,0.14,0.05,0.22,0.18,424.68,424.68,201,201,463,463,4,1,11
3662,3,2,1,0,0,1,94,9,9,10,10,8,9,4,1,0,3,1,1,1,1,0,0,0,1,0,35,9,0.37,1000,492,1000,0,45,4,22,170,4,3,2,3,45,0.14,0.29,0.15,0.26,0.07,0.85,0.02,0.02,0.07,0.17,65,65,65,65,65,65,3,3,13
3686,3,2,1,0,0,0,91,9,9,10,10,7,9,4,1,0,3,1,1,1,1,0,0,0,1,0,68,9,0.67,1000,492,1000,0,39,4,25,161,2,3,2,2,49,0.1,0.37,0.17,0.27,0.05,0.77,0.05,0.04,0.15,0.13,55,55,55,55,55,55,2,2,10
4002,4,3,1,0,0,1,85,9,8,9,9,8,8,3,1,0,2,9,1,2,2,0,200,85,3,20,149,8,1.22,1000,237,1000,0,4,1,5,1,0,0,0,1,11,0.45,0.52,0.59,0.33,0.22,3.13,0.22,0.21,1.6,0.22,113.87,113.87,77,77,139,139,4,3,15
4197,3,2,0,0,0,0,98,10,10,10,10,10,10,4,1,1,2,2,2,1,1,0,0,25,1,25,37,10,0.31,1000,487,32,0,5,11,2,1,0,2,1,0,7,0.07,0.25,0.48,0.8,0.24,0.7,0.18,0.47,0.7,0.24,81.25,81.25,69,69,90,90,3,2,11
4283,3,3,1,0,0,1,100,10,10,10,10,10,9,2,1,0,1,4,1,2,3,0,350,125,2,15,13,9,0.12,1000,500,286,0,19,10,3,0,1,1,1,2,13,0.1,0.46,0.36,0.12,0.06,3.61,0.11,0.53,0.32,0.06,135,135,135,135,135,135,4,2,15
4501,0,2,0,0,0,0,98,10,10,10,10,9,10,0,0,0,1,2,2,1,1,0,0,0,2,50,120,10,0.98,1000,488,1002,0,25,10,7,37,1,6,2,2,25,0.13,0.1,0.22,0.35,0.13,2.37,0.13,0.08,0.4,0.13,375.27,375.27,125,125,475,475,4,4,14
4529,0,2,1,0,0,0,93,10,9,10,10,9,10,3,1,0,3,4,1,1,2,0,200,40,2,10,99,10,0.85,1000,497,87,0,28,1,11,129,5,3,0,0,20,0.36,0.45,1.5,0.52,0.18,2.15,0.11,0.06,0.28,0.18,52.85,52.85,52,52,55,55,3,5,15
4967,3,2,0,0,1,0,95,9,10,10,10,8,9,4,1,1,5,1,3,1,1,0,0,0,1,0,31,9,0.31,1002,0,59,0,21,2,31,27,1,0,1,2,47,0.42,0.58,0.5,0.19,0.28,1.26,0.08,0.28,0.46,0.29,99,99,99,99,99,99,4,3,12
5589,3,3,1,0,0,0,90,9,8,10,10,10,9,4,1,1,4,4,1,1,3,0,150,10,1,8,80,9,0.7,1002,384,80,0,28,11,3,7,1,0,4,3,19,0.04,0.6,0.18,0.05,0.03,3.36,0.03,0.41,0.34,0.2,114.37,114.37,91,91,126,126,4,2,14
